,district,meter,built_year,price_per_meter,room,elevator,parking,storage,floor_en,total_floor,district_code
15620,اباذر,125,1397,58240000.0,2,1.0,1.0,1.0,1,1,11
15622,اباذر,114,1393,52632000.0,2,1.0,1.0,1.0,5,5,11
15623,اباذر,115,1399,64348000.0,2,1.0,1.0,1.0,5,5,11
15624,اباذر,110,1395,50909000.0,2,1.0,1.0,1.0,3,3,11
15626,اباذر,100,1394,53500000.0,2,1.0,1.0,1.0,3,3,11
15627,اباذر,118,1392,50000000.0,3,1.0,1.0,1.0,2,5,11
15628,اباذر,77,1379,45455000.0,2,1.0,1.0,1.0,4,5,11
15629,اباذر,66,1392,44697000.0,1,1.0,1.0,1.0,5,5,11
15630,اباذر,56,1383,49107000.0,1,1.0,1.0,1.0,6,6,11
15631,اباذر,138,1400,66667000.0,2,1.0,1.0,1.0,2,5,11
15632,اباذر,150,1385,43333000.0,3,1.0,1.0,1.0,5,5,11
15635,اباذر,104,1388,45481000.0,2,1.0,1.0,1.0,2,5,11
15636,اباذر,95,1400,60000000.0,2,1.0,1.0,1.0,4,4,11
15637,اباذر,120,1385,45417000.0,2,1.0,1.0,1.0,5,5,11
15638,اباذر,76,1384,51316000.0,2,1.0,1.0,1.0,2,5,11
15639,اباذر,120,1398,62500000.0,2,1.0,1.0,1.0,5,5,11
15640,اباذر,90,1392,53333000.0,2,1.0,1.0,1.0,5,5,11
15641,اباذر,127,1388,46063000.0,3,1.0,1.0,1.0,4,5,11
15642,اباذر,115,1385,37391000.0,2,1.0,1.0,1.0,4,5,11
15643,اباذر,120,1384,52500000.0,3,1.0,1.0,1.0,4,4,11
15644,اباذر,84,1392,44643000.0,2,1.0,1.0,1.0,1,1,11
15645,اباذر,83,1386,50602000.0,2,1.0,1.0,0.0,1,5,11
15646,اباذر,122,1396,59836000.0,3,1.0,1.0,1.0,4,5,11
15648,اباذر,60,1384,44167000.0,1,1.0,1.0,1.0,1,5,11
15649,اباذر,124,1382,47742000.0,2,1.0,1.0,1.0,2,2,11
15650,اباذر,114,1398,52632000.0,2,1.0,1.0,1.0,1,1,11
15651,اباذر,76,1381,42763000.0,2,1.0,1.0,1.0,3,3,11
15652,اباذر,101,1394,56931000.0,2,1.0,1.0,1.0,5,5,11
15653,اباذر,85,1391,52941000.0,2,1.0,1.0,1.0,5,5,11
15654,اباذر,74,1389,50000000.0,2,1.0,1.0,1.0,2,2,11
15655,اباذر,182,1400,64835000.0,3,1.0,1.0,1.0,1,5,11
15656,اباذر,81,1398,43210000.0,2,1.0,1.0,1.0,1,1,11
15657,اباذر,55,1385,47273000.0,1,1.0,1.0,1.0,3,3,11
15658,اباذر,125,1385,46400000.0,2,1.0,1.0,1.0,2,2,11
15660,اباذر,130,1388,36923000.0,3,1.0,1.0,1.0,1,1,11
15661,اباذر,117,1391,46581000.0,2,1.0,1.0,1.0,1,5,11
15662,اباذر,80,1392,53750000.0,2,1.0,1.0,1.0,2,5,11
15663,اباذر,80,1388,41250000.0,2,1.0,1.0,1.0,1,1,11
15664,اباذر,130,1390,54615000.0,2,1.0,1.0,1.0,3,5,11
15665,اباذر,80,1385,49375000.0,2,1.0,1.0,1.0,2,2,11
15666,اباذر,122,1382,46230000.0,2,1.0,1.0,1.0,4,4,11
15668,اباذر,79,1382,48101000.0,2,1.0,1.0,1.0,1,1,11
15669,اباذر,125,1390,42800000.0,3,1.0,1.0,1.0,1,1,11
15670,اباذر,50,1382,39000000.0,1,0.0,0.0,1.0,3,3,11
15671,اباذر,123,1398,58537000.0,3,1.0,1.0,1.0,4,5,11
15672,اباذر,125,1383,46400000.0,2,1.0,1.0,1.0,2,2,11
15673,اباذر,70,1396,49000000.0,2,1.0,1.0,1.0,5,5,11
15674,اباذر,157,1386,47134000.0,3,1.0,1.0,1.0,5,5,11
15676,اباذر,103,1386,46602000.0,3,1.0,1.0,1.0,5,5,11
15677,اباذر,80,1398,58125000.0,2,1.0,1.0,0.0,1,1,11
15678,اباذر,135,1385,40741000.0,3,1.0,1.0,1.0,3,5,11
15681,اباذر,77,1380,42857000.0,2,1.0,1.0,1.0,2,2,11
15682,اباذر,115,1390,46087000.0,2,1.0,1.0,1.0,4,5,11
15684,اباذر,135,1400,65000000.0,3,1.0,1.0,1.0,3,5,11
15685,اباذر,118,1393,46610000.0,2,1.0,1.0,1.0,1,5,11
15687,اباذر,86,1395,50581000.0,2,1.0,1.0,1.0,3,5,11
15690,اباذر,118,1400,69492000.0,1,1.0,1.0,1.0,5,5,11
15692,اباذر,76,1400,52500000.0,2,1.0,1.0,1.0,4,4,11
15693,اباذر,118,1392,50424000.0,3,1.0,1.0,1.0,2,5,11
15694,اباذر,74,1400,55000000.0,2,1.0,1.0,1.0,2,2,11
15695,اباذر,100,1398,40000000.0,2,1.0,1.0,1.0,2,2,11
15697,اباذر,55,1389,52727000.0,1,1.0,1.0,1.0,2,2,11
